text,label
"This complaint concerns continued collection efforts relating to a disputed towing/storage deficiency balance allegedly owed to XXXX XXXX XXXX XXXX .

After my original CFPB complaint, the collector responded with additional materials that raise further concerns rather than resolving the dispute.

Among other issues : The collectors own documents appear to reflect mailing to XXXX XXXX rather than my actual mailing designation of XXXX  XXXX, raising substantial concerns regarding lawful notice and delivery.

The collector continues attempting to collect large storage-related charges that escalated far beyond the apparent value of the vehicle, despite prior attempts to reasonably resolve the matter.

The collector has failed to provide competent documentation establishing a commercially reasonable lien sale process, including meaningful documentation regarding sale procedures, advertising, bidding, or disposition methodology.

The collector also failed to provide contemporaneous storage records, a complete accounting ledger, or competent evidence establishing the enforceability of the alleged deficiency balance.

The collector additionally asserted interest charges without identifying any contractual or statutory basis for those charges.

The alleged debt remains disputed in its entirety.

I am submitting this supplemental complaint because the collector continues asserting the validity and enforceability of the alleged balance despite substantial unresolved disputes regarding notice, documentation, commercial reasonableness, and the amount allegedly owed.

Please see attached supporting correspondence.",Debt collection
"XXXX XXXX, the third-party company responsible for processing and disbursing student refunds on behalf of XXXX University , issued a direct deposit refund in the amount of approximately {$10000.00} on or around XXXX XXXX XXXX. According to the refund records, the funds were sent via ACH/direct deposit to Wells Fargo account ending in XXXX. 

However, the receiving Wells Fargo account had already been closed prior to the deposit attempt. Wells Fargos own mobile banking application clearly identifies the account as closed and unavailable for transactions. Despite this, the refund was still marked as issued, and there has been no clear explanation regarding whether the funds were rejected, returned, or are being held internally by the bank. 


XXXX XXXX advised me to contact Wells Fargo directly regarding the status of the funds and the return process. I contacted the bank seeking clarification and assistance regarding : Whether the ACH deposit was automatically rejected due to the account closure ; Whether the funds are being held internally despite the account no longer existing ; When the funds will be returned to XXXX XXXX so the refund can be reissued correctly ; and Why there has been a delay in rejecting or returning funds associated with a closed account.

Under the Electronic Fund Transfer Act ( EFTA ), 15 U.S.C. 1693 et seq., and Regulation E, financial institutions are required to properly investigate and handle electronic fund transfer issues involving consumer accounts. Additionally, ACH transactions are governed by XXXX Operating Rules, which generally require that transactions sent to closed accounts be returned by the receiving financial institution within the required return timeframe rather than retained or delayed without explanation.

The Wells Fargo bank representative informed me that from the banks side the funds/account were essentially in limbo and stated there was nothing they could do other than tell me to wait. I was not provided any meaningful explanation, escalation, investigation details, ACH return information, or estimated timeline regarding the handling of the funds. Being told that over {$10000.00} in educational refund funds are in limbo without a clear answer as to whether the funds were rejected, internally held, or returned is unreasonable and has caused significant uncertainty, financial hardship, and distress.

Because Wells Fargo had prior knowledge that the account was closed and incapable of receiving deposits, the bank had a duty to promptly reject and return the ACH payment to the originating institution. Any unreasonable delay, internal hold, or failure to timely process the return may constitute improper handling of consumer funds and may interfere with my ability to access educational refund money intended for tuition, housing, transportation, and living expenses.

As a direct result of the banks actions and/or delay : I have been deprived access to over {$10000.00} in educational funds ; I have suffered financial hardship and uncertainty regarding the status of my money ; The originating institution has been unable to promptly reissue payment ; and I have spent significant time attempting to trace and resolve the transaction.

I am requesting : An immediate investigation into the status and location of the ACH funds ; Immediate return of the funds to XXXX XXXX if the account can not legally accept deposits ; Written confirmation regarding whether the ACH was rejected, returned, or internally held ; ACH trace and return information, including any applicable return codes ; Compensation or corrective action to the extent Wells Fargo failed to timely process the return in accordance with applicable banking and ACH rules ; and Assurance that Wells Fargo is complying with consumer protection laws governing electronic fund transfers and closed accounts.

Attached documentation includes : Screenshots from XXXX XXXX showing the refund issuance details and transaction information ; Screenshots from Wells Fargo confirming the receiving account ending in XXXX is closed.

The continued delay and lack of transparency regarding the handling of these funds has interfered with timely access to money intended for educational purposes and has caused avoidable financial distress.",Checking or savings account
I received a call from XXXX XXXX impersonating an officer of the court with legal XXXX XXXX XXXX documents. They were attempting to come to my residents I contacted Citibank who had no record of debt that was claimed I owed. I knew it was fraud. It was someone using scare tactics to get information from me. The number XXXX XXXX asked me to call verified information. ( XXXX ). They claimed to be legal counsel,Debt collection
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX ( XXXX ) XXXX XXXX Date : XX/XX/XXXX Wells Fargo XXXX Department Re : Request for Reconsideration of Denied Debit Card Fraud Claim Claim Number : XXXX Account/Card Last 4 Digits : XXXX To Whom It May Concern, I am writing to formally request reconsideration of my denied debit card fraud claim. My Wells Fargo debit card was lost, and after that, more than nine unauthorized charges were made on my account totaling approximately {$490.00}. 
I did not make, authorize, approve, participate in, or benefit from these transactions. These charges were made without my permission after my debit card was lost. 
When I first opened the claim, I mistakenly included a few valid transactions. Once I realized the mistake, I reopened and corrected the claim so that only the unauthorized charges were included. I am asking Wells Fargo to review the corrected claim based only on the fraudulent transactions listed below. 
The unauthorized charges are : Date Merchant Amount Reason Disputed XX/XX/XXXX XXXX Cigar Lounge {$43.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$65.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$4.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$58.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX XXXX {$85.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX XXXX {$77.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$26.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$66.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX {$19.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX XXXX {$28.00} Unauthorized I did not make, approve, or benefit from this charge. 
XX/XX/XXXX XXXX XXXX {$22.00} Unauthorized I did not make, approve, or benefit from this charge. 

Timeline : My debit card was lost on or around : XX/XX/XXXX I noticed the unauthorized charges on or around : XX/XX/XXXX I reported the fraud to Wells Fargo on or around : XX/XX/XXXX The original claim was denied on or around : XX/XX/XXXX I reopened/corrected the claim on or around : XX/XX/XXXX The corrected claim was denied on or around : XX/XX/XXXX I am requesting that Wells Fargo reopen and fully reinvestigate this corrected fraud claim. I am also requesting reimbursement for the unauthorized charges and a written explanation of the specific reason the corrected claim was denied, including any evidence Wells Fargo relied on to deny my claim. 
I am also requesting confirmation that the reviewed claim only includes the unauthorized charges listed above, and not the valid charges that were mistakenly included in the original claim. 
Please consider this letter my formal written dispute and request for reconsideration. I have attached supporting documents, including screenshots of the transactions, claim information, denial notices, and any additional documentation available. 
Thank you for your prompt attention to this matter. I look forward to receiving a written response.",Checking or savings account
"XXXX I need you XXXX XXXX, to put it in writing that you state that NO MONEY ( none of my money over the XXXX ) can be withdrawn from my Edge account for the XXXX  Days after the NEW MONEY is deposited for the XXXX bonus according to the letter. I reiterated the rules with XXXX XXXX XXXX to me bringing new money from my other bank accounts so that my old money was not subject to the new money deposited rules. He confirmed that it was in the case and XXXX would NOT be tying up ALL my old money for the XXXX  days. 

THIS IS NOT LEGAL. DO NOT play games with me. Even if you took an average ( XXXX said it was taken as an average ), my account was WELL OVER XXXX for more than XXXX  days. 

XXXX XXXX XXXX has been notified. PLEASE DO NOT ALLOW XXXX XXXX TO CHEAT AND DEFRAUD DISALED SENIORS BECAUSE THEY KNOW IT CAN NOT BE REPORTED AND IT WILL LIKELY GET SWEPT UNDER THE RUG. Please do the ETHICAL thing and help me.",Checking or savings account
I had a checking account with Citibank which I no longer wish to use. The account currently has a balance of {$6.00} and is not getting any deposits because I switched my pay to another bank. I called and tried to close the account and the young lady in XXXX told me that I have pending transactions and can't close the account. My account does not actually show any transactions pending. I have destroyed the debit card and an receiving my pay through another bank. So I do not expect any more activity.,Checking or savings account
"I am filing a complaint regarding Citibanks handling and denial of my altered check fraud claim involving a stolen and materially altered check in the amount of {$21000.00}. 

On or about XX/XX/year>, I mailed a check payable to XXXX XXXX XXXX through XXXX XXXX XXXX, the drive through box. I specifically mailed the check at a XXXX location. The check was later stolen, materially altered, and negotiated by an unrelated party. The transaction was posted to my Citibank account on XX/XX/year>. 

The original check was payable to XXXX XXXX XXXX. I possess the original carbon copy and supporting records proving the intended payee. The check was clearly altered before negotiation. 

I was outside the United States from XX/XX/year> through XX/XX/year> and could not reasonably discover the fraud earlier. Immediately upon discovering the fraud on XX/XX/year>, I contacted Citibank and filed a fraud claim and received Fraud Reference # : XXXX. 

On XXXX, XXXX, XXXX, Citibank denied my claim solely based on an alleged 30-day reporting requirement. However, Citibank failed to address the core issues of the fraud : - The check was materially altered.

- The original payee was changed. 
- The check was negotiated by an unrelated party. 
- The endorsement/signature on the back of the check appears missing or improper. 
- Citibank honored and paid a materially altered check that was not properly payable. 

This matter involves apparent check washing, mail theft, forgery, and altered check fraud. I believe Citibank failed to exercise ordinary care in processing and honoring this altered item. 

I respectfully request that Citibank reopen and reconsider this claim and provide : - and the basis for determining that the altered check was properly payable, - The XXXX 's Bank information and related details to help XXXX XXXX police proceed the investigation. 

I also filed police report with XXXX XXXX Police Station with mail theft/Forge check/financial crime ( case # XXXX ) regarding this matter. 

I respectfully request regulatory review of Citibanks handling of this altered check fraud claim. 

Thank you, XXXX XXXX XXXX ( XXXX XXXX XXXX as shown on my check, name change proof was submitted )",Checking or savings account
"[ XXXX XXXX XXXX ] [ XXXX XXXX XXXX ] [ XXXX, KY XXXX ] [ XX/XX/year> ] [ Americas CAR-MART XXXX XXXX XXXX XXXX XXXX XXXX ] [ XXXX, AR XXXX ] Re : Account Number : [ XXXXXXXX XXXX XXXX XXXX XXXX ] To Whom It May Concern : I am writing regarding the alleged auto loan debt referenced above. I dispute this debt and request full validation pursuant to the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g. 

Please provide the following documentation and information : The name and address of the original creditor The original loan agreement bearing my signature Complete payment history on the account Documentation showing I legally agreed to this debt Proof your company has authority to collect on this account The date the debt was incurred and the current amount owed, including fees and interest Copies of any title, financing, or repossession documents associated with this alleged loan Verification that the debt has been accurately reported to all credit reporting agencies If this account resulted from identity theft, fraud, mistaken identity, or unauthorized use of my information, I request that you immediately cease collection efforts and remove any inaccurate reporting from all consumer reporting agencies. 

Pending proper validation, you must cease collection activity and communication concerning this account except as permitted by federal law. 

This letter is not an acknowledgment, acceptance, or admission of liability for the alleged debt. 

Sincerely, [ XXXX XXXX ] [ XXXX XXXX XXXX ]",Debt collection
"HP Sears is reporting a collection account on my XXXX  credit report for XXXX College with a balance of {$5300.00}. This is an educational debt. Under CFPB guidance and the FCRA, educational debts require the furnisher to provide enrollment verification and a signed promissory note or enrollment agreement. HP Sears has provided me with no such documents. 

I have no recollection of this debt, and I have not received any verifiable proof that I enrolled in XXXX College or signed any loan agreement that would lead to this collection. Without a signed enrollment agreement or promissory note, this account does not meet the legal standard for accurate credit reporting. 

I request that HP Sears be required to produce the original enrollment contract bearing my signature. If they can not, the account must be deleted.",Debt collection
My wallet was stolen and my cards had charges that were not me. And they refuse to remove the charges and keep saying this was resolved and resolution was not in my favor this was with XXXX  credit card,Credit card
Okay so my debt with ability recovery services LLC is supposed to update XXXX XXXX XXXX XXXX of the updated balance so I may continue my XXXX to graduate but they have failed to do so and I have already faxed them the evidence to every department I know too,Debt collection
"I received 12 months of forbearance on my FHA monthly mortgage notes from Wells Fargo last year. 
I have since returned to paying my regular monthly mortgage notes for XXXX, XXXX, XXXX, and will be making my XXXX payment in the coming days. 
I requested that my arrears amount with amounts to approximately $ XXXX be placed in a Standalone Partial Claim as per the FHA Waterfall Process for Home Preservation. Instead Wells Fargo has twice offered loan modifications that would extend my current mortgage by 18 years for a {$7.00} reduction in monthly payments without providing a reason to deny my request for a partial claim. 
The servicer is violating RESPA Regulation X ( 12 CFR 1024.41 ) and FHA Handbook 4000.1 by failing to properly evaluate my account under the mandated loss mitigation waterfall. They are refusing to evaluate or offer the Standalone Partial Claim option despite the arrears fitting within statutory limits. Furthermore, they are attempting to disqualify me using financial documentation/underwriting metrics that are explicitly banned from streamlined evaluation under recent HUD Mortgagee Letter guidelines .",Mortgage
"Every month. No matter when I pay my bills, its not taken out til a week or more only after the funds are too low to cover. So ill be charged overdraft fees",Checking or savings account
