,precision,recall,f1-score,support
Checking or savings account,0.7678571428571429,0.8269230769230769,0.7962962962962963,52.0
Credit card,0.8717948717948718,0.8095238095238095,0.8395061728395061,42.0
Credit reporting or other personal consumer reports,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
Debt collection,0.9811320754716981,0.8666666666666667,0.9203539823008849,60.0
"Money transfer, virtual currency, or money service",0.4,0.3333333333333333,0.36363636363636365,6.0
Mortgage,0.6956521739130435,0.9411764705882353,0.8,17.0
"Payday loan, title loan, personal loan, or advance loan",0.0,0.0,0.0,4.0
Vehicle loan or lease,0.7272727272727273,0.8,0.7619047619047619,10.0
accuracy,0.8121827411167513,0.8121827411167513,0.8121827411167513,0.8121827411167513
macro avg,0.6249080683581298,0.6763695862960568,0.64354553045556,197.0
weighted avg,0.8134214626134024,0.8121827411167513,0.8085724436831754,197.0
