query_name,rank_within_query,id,distance,title,rg_refs,chunk_type,text
complaint_definition,1,rg271_chunk_34,0.452279269695282,Definition of ‘complaint’ from AS/NZS 10002:2014,['RG 271.27'],definition,"AS/NZS 10002:2014 sets out the following definition of ‘complaint’ at p. 6: [An expression] of dissatisfaction made to or about an organization, related to its products, services, staff or the handling of a complaint, where a response or resolution is explicitly or implicitly expected or legally required."
complaint_definition,2,rg271_chunk_43,0.6497395634651184,Trigger for obligation to handle complaints,"['RG 271.35', 'RG 271.27']",requirement,"RG 271.35 Regardless of a firm’s structure, it is the complainant’s expression of dissatisfaction (that meets the definition of ‘complaint’ in RG 271.27) that triggers a firm’s obligation to deal with the matter according to our IDR requirements, not the referral of a complaint to a specialist complaints or IDR team."
complaint_definition,3,rg271_chunk_38,0.7054775953292847,Expressions of dissatisfaction must not be misclassified,['RG 271.31'],requirement,"Financial firms should not categorise an expression of dissatisfaction that meets the definition of ‘complaint’ as ‘feedback’, an ‘inquiry’, a ‘comment’ or similar (and therefore not to be dealt with in the firm’s IDR process) merely because: (a) the complainant expresses their dissatisfaction verbally; (b) the firm considers that the matter does not have merit; or (c) a goodwill payment is made to the complainant to resolve the matter without any admission of error."
complaint_definition,4,rg271_chunk_114,0.7193986773490906,Triggering of IDR Obligations,"['RG 271.106', 'RG 271.27', 'RG 271.32']",requirement,"Regardless of the structure of a firm’s IDR process, the firm’s obligation to deal with a matter according to our IDR requirements is triggered when the complainant’s expression of dissatisfaction meets the definition of ‘complaint’ set out in RG 271.27. It is not triggered by the referral of a complaint to a specialist complaints or IDR team. Note: See RG 271.32 for our guidance on the definition of ‘complaint’."
complaint_definition,5,rg271_chunk_80,0.7365462779998779,Determining Complaint Resolution to Complainant’s Satisfaction,['RG 271.73'],requirement,"When determining whether a complaint has been resolved to a complainant’s satisfaction, we expect firms to consider whether: (a) the complainant has confirmed (verbally or in writing) that they are satisfied with the action(s) taken by the financial firm in response to the complaint and do not wish to take the matter further; or (b) other circumstances exist that make it reasonable for the firm to form the view that the complaint has been resolved to the complainant’s satisfaction."
idr_process_response,1,rg271_chunk_181,0.4548826217651367,Content requirements for internal complaint management procedure,"['RG 271.177', 'RG 271.27', 'RG 271.52', 'RG 271.170', 'RG 271.101', 'RG 271.165']",requirement,"RG 271.177 The internal complaint management procedure should be anchored to the IDR requirements set out in this regulatory guide, including the IDR standards. At a minimum, we expect a firm’s internal procedure to address our requirements for: (a) the definition of ‘complaint’ and the types of matters that must be dealt with in accordance with our IDR requirements (see RG 271.27); (b) proactively identifying and assisting complainants who might need additional assistance (see RG 271.52); (d) assessing and prioritising complaints according to the urgency of the issues raised (see RG 271.170); (f) investigating complaints, conducting negotiations and exploring resolution options, including appropriate remedies (see RG 271.101); (h) the content of IDR responses, including reasons for decision (see RG 271.165); (j) identifying and escalating systemic issues and complaint trends (see Section D); and (k) reporting internally about complaints (see RG 271.178)."
idr_process_response,2,rg271_chunk_177,0.557616114616394,Complaint management documentation requirements,['RG 271.172'],requirement,"RG 271.172 Complaint management documentation is a key component of a financial firm’s IDR process. Firms must have a publicly available, readily accessible complaints policy and an internal complaint management procedure. Firms must provide material that explains their IDR process free of charge to complainants."
idr_process_response,3,rg271_chunk_180,0.567427396774292,Internal complaint management procedure,"['RG 271.175', 'RG 271.176']",requirement,"RG 271.175 Firms should have a documented internal complaint management procedure to support the public complaint management policy.

RG 271.176 The procedure should be a comprehensive and useful tool for staff who deal with complaints, providing a step-by-step guide to the entire IDR process, and clearly setting out staff roles and responsibilities."
idr_process_response,4,rg271_chunk_156,0.5901787281036377,Training for Complaint Handling Staff,['RG 271.150'],requirement,"Firms should provide targeted induction and ongoing training to staff who handle complaints. Topics may include: (a) the firm’s IDR policy and process, including roles, responsibilities, authority and escalation points; (b) the requirements of this guide; (c) financial services consumer protection laws, AFCA position statements and industry codes of practice; (d) the firm’s products and services; (e) how to identify and help complainants who need additional assistance; (f) dealing with unreasonable complainant conduct; (g) effective communication and negotiation techniques; (h) effective written communications; (i) complaint data capture and internal reporting; (j) issues identification and analysis; and (k) identifying and escalating possible systemic issues."
idr_process_response,5,rg271_chunk_31,0.591080367565155,Transition period for IDR reforms,['RG 271.25'],requirement,"We acknowledge that some of the IDR reforms in this guide represent change for some financial firms. Firms will need to undertake internal capacity building, establish clear lines of reporting and accountability, develop processes and systems, and upskill staff who are responsible for dealing with complaints."
