,precision,recall,f1-score,support
Checking or savings account,0.7818181818181819,0.8269230769230769,0.8037383177570093,52.0
Credit card,0.8918918918918919,0.7857142857142857,0.8354430379746836,42.0
Credit reporting or other personal consumer reports,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
Debt collection,0.9811320754716981,0.8666666666666667,0.9203539823008849,60.0
"Money transfer, virtual currency, or money service",0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Mortgage,0.68,1.0,0.8095238095238095,17.0
"Payday loan, title loan, personal loan, or advance loan",0.0,0.0,0.0,4.0
Vehicle loan or lease,0.8,0.8,0.8,10.0
accuracy,0.8121827411167513,0.8121827411167513,0.8121827411167513,0.8121827411167513
macro avg,0.6279663797588326,0.680746336996337,0.6461323934445484,197.0
weighted avg,0.8217018415007112,0.8121827411167513,0.8115032681129901,197.0
