title,rg_refs,chunk_type,text,batch_id,agentic_chunk_id,source,method,text_length,has_title,has_text,has_rg_refs,too_short,too_long,passes_basic_qa
Dispute resolution system requirements for financial firms,['RG 271.1'],requirement,"Financial firms must have in place a dispute resolution system that consists of: (a) an IDR procedure that complies with standards and requirements made or approved by ASIC; and (b) membership of AFCA. Note 1: See s912A(1)(g) and 1017G(1) of the Corporations Act 2001 (Corporations Act), s47(1)(h) and (i) of the National Consumer Credit Protection Act 2009 (National Credit Act), s101(1) and (1A) of the Superannuation Industry (Supervision) Act 1993 (SIS Act), and s47(1) and (2) of the Retirement Savings Account Act 1997 (RSA Act). Note 2: Unlicensed carried over instrument lenders (unlicensed COI lenders) have IDR obligations, but are not required to be a member of AFCA.",0,batch_0_chunk_0,ASIC RG 271,agentic_rg_aware,678,True,True,True,False,False,True
Obligation to comply with IDR procedures,['RG 271.2'],requirement,"Most financial firms also have a requirement to comply with their IDR procedures: see modified s912A(1)(g) and 1017G(1) of the Corporations Act, and modified s47(1)(h) and (i) of the National Credit Act.",0,batch_0_chunk_1,ASIC RG 271,agentic_rg_aware,203,True,True,True,False,False,True
Modified regulatory regime for unlicensed credit firms,['RG 271.3'],requirement,"A modified regulatory regime applies to some unlicensed credit firms. Credit representatives and exempt special purpose funding entities (exempt SPFEs) (including securitisation bodies) do not have IDR obligations, but must be a member of AFCA. Unlicensed carried over instrument lenders (unlicensed COI lenders) have IDR obligations but are not required to be a member of AFCA. Note: See s64 and 65 of the National Credit Act, and regs 23B and 23C of the National Consumer Credit Protection Regulations 2010 (National Credit Regulations); see also reg 25E of the National Credit Regulations and s47(1)(e) of the National Credit Act (inserted by Sch 2 to the National Credit Regulations).",0,batch_0_chunk_2,ASIC RG 271,agentic_rg_aware,688,True,True,True,False,False,True
Dispute resolution requirements for Australian financial services (AFS) licensees,['RG 271.4'],requirement,"Australian financial services (AFS) licensees are businesses carrying out financial services, including providing financial product advice, dealing in financial products, making a market for financial products, operating registered schemes, providing custodial or depository services, or traditional trustee company services. AFS licensees must have a dispute resolution system consisting of: an internal dispute resolution (IDR) procedure that complies with ASIC standards and requirements covering complaints by retail clients related to financial services provided; and membership of the Australian Financial Complaints Authority (AFCA). AFS licensees must also comply with their IDR procedure. Note: See s912A(1)(g) of the Corporations Act.",1,batch_1_chunk_0,ASIC RG 271,agentic_rg_aware,744,True,True,True,False,False,True
Dispute resolution requirements for unlicensed product issuers and unlicensed secondary sellers,['RG 271.4'],requirement,Unlicensed product issuers are issuers of financial products who are not AFS licensees. Unlicensed secondary sellers offer secondary sales of financial products under s1012C(5)(b) or (8) of the Corporations Act and are not AFS licensees. They are required to have a dispute resolution system consisting of: an IDR procedure complying with ASIC standards and requirements covering complaints by retail clients related to financial services provided; and membership of AFCA. They must also comply with their IDR processes. Note: See s1017G(2) of the Corporations Act.,1,batch_1_chunk_1,ASIC RG 271,agentic_rg_aware,565,True,True,True,False,False,True
Dispute resolution requirements for superannuation trustees,['RG 271.4'],requirement,"Superannuation trustees include trustees of regulated superannuation funds (other than self-managed superannuation funds), trustees of approved deposit funds, or retirement savings account (RSA) providers. They must: be members of AFCA; and have an IDR procedure complying with the standards and requirements set out in s912A(2)(a)(i) of the Corporations Act. Note 1: See also s101(1)(a)–(c) of the SIS Act. Note 2: However, s101(1)(a)–(c) of the SIS Act does not apply if the trustee is required under the Corporations Act to have a dispute resolution system complying with s912A(2) or 1017G(2).",1,batch_1_chunk_2,ASIC RG 271,agentic_rg_aware,596,True,True,True,False,False,True
Dispute resolution requirements for Australian credit licensees (credit licensees),['RG 271.4'],requirement,"Credit licensees include credit providers and lessors, including those assigned contractual rights (such as debt collectors who purchase debts), credit service providers (brokers and intermediaries), and others acting on behalf of credit providers or lessors. They must have a dispute resolution system consisting of: an IDR procedure complying with ASIC standards and requirements covering disputes related to credit activities they and their representatives engage in; and membership of AFCA. Credit licensees must also comply with their IDR procedures. Note: See s47 of the National Credit Act.",1,batch_1_chunk_3,ASIC RG 271,agentic_rg_aware,597,True,True,True,False,False,True
Dispute resolution requirements for credit representatives,['RG 271.4'],requirement,"A credit representative is authorised to engage in specified credit activities on behalf of a credit licensee under s64(2) or 65(2) of the National Credit Act. Employees and directors of credit licensees act as representatives without specific authorisation. A person can be authorised by more than one credit licensee. Credit representatives do not need IDR processes meeting ASIC standards because the credit licensee’s IDR process covers disputes relating to its credit representatives. Most credit representatives must be separate members of AFCA (see s64 and 65 of the National Credit Act). However, a person sub-authorised under s65(1) who is an employee or director of the authorising body corporate does not need separate AFCA membership. Note: See reg 16 of the National Credit Regulations.",1,batch_1_chunk_4,ASIC RG 271,agentic_rg_aware,799,True,True,True,False,False,True
Dispute resolution requirements for unlicensed COI lenders (including prescribed unlicensed COI lenders),['RG 271.4'],requirement,"Unlicensed COI lenders are credit providers or lessors with a closed pool of carried over instruments (contracts in force before 1 July 2010 under the old Credit Code) who have chosen not to obtain or have cancelled their credit licence. Prescribed unlicensed COI lenders fail certain probity requirements and have conduct restrictions; they must appoint a credit licensee as a representative to engage in credit activities on their behalf. Unlicensed COI lenders must have an IDR procedure complying with ASIC standards covering complaints related to credit activities with their carried over instruments and may choose to join AFCA. They must comply with their IDR procedure. Unlicensed COI lenders not joining AFCA must keep a register of complaints relating to carried over instruments, hardship notices under s72 of the National Credit Code, and requests for postponement of enforcement proceedings under s94 of the National Credit Code. Note 1: Obligations are detailed in INFO 110, RG 205, RG 206, and RG 207. Note 2: Prescribed unlicensed COI lenders may arrange for their credit licensee’s dispute resolution system to cover complaints but remain responsible for meeting requirements. Note 3: See s47(1A) of the National Credit Act for register details.",1,batch_1_chunk_5,ASIC RG 271,agentic_rg_aware,1262,True,True,True,False,False,True
Dispute resolution requirements for exempt special purpose funding entities (SPFEs),['RG 271.4'],requirement,"Exempt SPFEs include securitisation entities and fundraising special purpose entities that make or buy loans or leases and repackage them as investment products. They may operate under a credit licence or as exempt SPFEs under regs 23B and 23C of the National Credit Regulations. Exempt SPFEs relying on the licensing exemption must: enter into a servicing agreement with a credit licensee acting on their behalf; and be members of AFCA. Exempt SPFEs do not have IDR requirements themselves. The credit licensee’s IDR process is expected to cover complaints about credit activities under the servicing agreement and conduct of the exempt SPFE, including contract term changes such as hardship or unsuitability.",1,batch_1_chunk_6,ASIC RG 271,agentic_rg_aware,710,True,True,True,False,False,True
